postcode,prefecture,city,ward
30836,Hokkaido,Sapporo Shi,Kitago
30859,Hokkaido,Sapporo Shi,Kawakita
30869,Hokkaido,Sapporo Shi,Kawashimo
30871,Hokkaido,Sapporo Shi,Yonesato
30876,Hokkaido,Sapporo Shi,Higashiyonesato
40003,Hokkaido,Sapporo Shi,Atsubetsuhigashi
40004,Hokkaido,Sapporo Shi,Atsubetsuhigashi
40006,Hokkaido,Sapporo Shi,Atsubetsucho Konopporo
40007,Hokkaido,Sapporo Shi,Atsubetsucho Shimonopporo
40012,Hokkaido,Sapporo Shi,Momijidaiminami
40013,Hokkaido,Sapporo Shi,Momijidainishi
40014,Hokkaido,Sapporo Shi,Momijidaikita
40021,Hokkaido,Sapporo Shi,Aobacho
40032,Hokkaido,Sapporo Shi,Kaminopporo
40041,Hokkaido,Sapporo Shi,Oyachihigashi
40053,Hokkaido,Sapporo Shi,Atsubetsuchuo
40069,Hokkaido,Sapporo Shi,Atsubetsucho Yamamoto
40811,Hokkaido,Sapporo Shi,Utsukushigaoka
40839,Hokkaido,Sapporo Shi,Shinei
40843,Hokkaido,Sapporo Shi,Kiyota
40862,Hokkaido,Sapporo Shi,Kitano
40864,Hokkaido,Sapporo Shi,Kitano
40872,Hokkaido,Sapporo Shi,Hiraoka
40874,Hokkaido,Sapporo Shi,Hiraoka
40875,Hokkaido,Sapporo Shi,Hiraoka
40882,Hokkaido,Sapporo Shi,Hiraokakoenhigashi
50003,Hokkaido,Sapporo Shi,Sumikawa
50004,Hokkaido,Sapporo Shi,Sumikawa
50005,Hokkaido,Sapporo Shi,Sumikawa
50006,Hokkaido,Sapporo Shi,Sumikawa
50011,Hokkaido,Sapporo Shi,Makomanai Higashimachi
50012,Hokkaido,Sapporo Shi,Makomanai Kamimachi
50014,Hokkaido,Sapporo Shi,Makomanai Saiwaimachi
50018,Hokkaido,Sapporo Shi,Makomanai Akebonocho
50030,Hokkaido,Sapporo Shi,Minami30-Jonishi
50801,Hokkaido,Sapporo Shi,Kawazoe
50803,Hokkaido,Sapporo Shi,Kawazoe
50807,Hokkaido,Sapporo Shi,Kawazoe
50822,Hokkaido,Sapporo Shi,Minamisawa2-Jo
50825,Hokkaido,Sapporo Shi,Minamisawa5-Jo
50841,Hokkaido,Sapporo Shi,Ishiyama
50842,Hokkaido,Sapporo Shi,Ishiyama
50850,Hokkaido,Sapporo Shi,Ishiyama Higashi
50852,Hokkaido,Sapporo Shi,Tokiwa2-Jo
60013,Hokkaido,Sapporo Shi,Tomioka
60026,Hokkaido,Sapporo Shi,Teinehoncho
60033,Hokkaido,Sapporo Shi,Inaho
60034,Hokkaido,Sapporo Shi,Inaho
60043,Hokkaido,Sapporo Shi,Kanayama
60805,Hokkaido,Sapporo Shi,Shinhassamu
60814,Hokkaido,Sapporo Shi,Maeda
60817,Hokkaido,Sapporo Shi,Maeda
60820,Hokkaido,Sapporo Shi,Maeda
60829,Hokkaido,Sapporo Shi,Teine Maeda
60837,Hokkaido,Sapporo Shi,Akebono
60853,Hokkaido,Sapporo Shi,Hoshioki
60860,Hokkaido,Sapporo Shi,Teine Yamaguchi
70807,Hokkaido,Sapporo Shi,Higashinaebo
70810,Hokkaido,Sapporo Shi,Higashinaebo
70820,Hokkaido,Sapporo Shi,Higashikarikicho
70836,Hokkaido,Sapporo Shi,Kita36-Johigashi
70846,Hokkaido,Sapporo Shi,Kita46-Johigashi
70868,Hokkaido,Sapporo Shi,Fushiko
70871,Hokkaido,Sapporo Shi,Fushiko
70880,Hokkaido,Sapporo Shi,Okadamacho
70881,Hokkaido,Sapporo Shi,Kitaokadama
70890,Hokkaido,Sapporo Shi,Nakanumacho
70894,Hokkaido,Sapporo Shi,Nakanumanishi
70895,Hokkaido,Sapporo Shi,Nakanumanishi
100001,Akita Ken,Akita Shi,Nakadori
100014,Akita Ken,Akita Shi,Minamidori Miyata
100021,Akita Ken,Akita Shi,Narayama Noborimachi
100035,Akita Ken,Akita Shi,Narayama Jonammachi
100041,Akita Ken,Akita Shi,Hiromote
100051,Akita Ken,Akita Shi,Shimokitate Matsusaki
100059,Akita Ken,Akita Shi,Sakuradai
100065,Akita Ken,Akita Shi,Barajima
100101,Akita Ken,Katagami Shi,Tenno
100126,Akita Ken,Akita Shi,Kanaashi Oiwake
100146,Akita Ken,Akita Shi,Shimoshinjo Nakano
100201,Akita Ken,Katagami Shi,Tenno
100341,Akita Ken,Oga Shi,Funakoshi
100411,Akita Ken,Oga Shi,Fukumezawa
100443,Akita Ken,Minamiakita Gun,Chuo
100521,Akita Ken,Oga Shi,Funagawaminato Minamihirasawa
100683,Akita Ken,Oga Shi,Kitaura Kitaura
100802,Akita Ken,Akita Shi,Sotoasahikawa
100851,Akita Ken,Akita Shi,Tegata
100863,Akita Ken,Akita Shi,Tegata Kyukamachi
100871,Akita Ken,Akita Shi,Senshu Nakajimamachi
100875,Akita Ken,Akita Shi,Senshu Meitokumachi
100877,Akita Ken,Akita Shi,Senshu Yadomemachi
100902,Akita Ken,Akita Shi,Hodono Kanasamachi
100904,Akita Ken,Akita Shi,Hodono Haranomachi
100913,Akita Ken,Akita Shi,Hodono Teppomachi
100916,Akita Ken,Akita Shi,Izumi Kita
100921,Akita Ken,Akita Shi,Omachi
100951,Akita Ken,Akita Shi,Sanno
100976,Akita Ken,Akita Shi,Yabase Minami
101103,Akita Ken,Akita Shi,Taihei Nakazeki
101222,Akita Ken,Akita Shi,Yuwa Ishida
101413,Akita Ken,Akita Shi,Goshonojizoden
101423,Akita Ken,Akita Shi,Niida
101437,Akita Ken,Akita Shi,Niida Midoricho
101503,Akita Ken,Akita Shi,Shimohama Hanekawa
101602,Akita Ken,Akita Shi,Araya Shitakawaramachi
101603,Akita Ken,Akita Shi,Araya Katsuhiradai
101608,Akita Ken,Akita Shi,Araya Kitahamacho
101621,Akita Ken,Akita Shi,Araya Kuritamachi
101632,Akita Ken,Akita Shi,Araya Okawamachi
101651,Akita Ken,Akita Shi,Toyoiwa Ishidazaka
101652,Akita Ken,Akita Shi,Toyoiwa Toyomaki
110911,Akita Ken,Akita Shi,Iijima
110936,Akita Ken,Akita Shi,Shogunno Minami
110941,Akita Ken,Akita Shi,Tsuchizakiminato Kita
110943,Akita Ken,Akita Shi,Tsuchizakiminato Minami
120055,Akita Ken,Yuzawa Shi,Yamada
120104,Akita Ken,Yuzawa Shi,Komagatacho
120106,Akita Ken,Yuzawa Shi,Mitsunashicho
120183,Akita Ken,Yuzawa Shi,Minase
120803,Akita Ken,Yuzawa Shi,Sugisawaaratokoro
120823,Akita Ken,Yuzawa Shi,Yunohara
120853,Akita Ken,Yuzawa Shi,Shincho
120867,Akita Ken,Yuzawa Shi,Minamidai
121100,Akita Ken,Ogachi Gun,Ikanikeisaiganaibaai
121132,Akita Ken,Ogachi Gun,Odo
130008,Akita Ken,Yokote Shi,Mutsunari
130016,Akita Ken,Yokote Shi,Negishicho
130037,Akita Ken,Yokote Shi,Maego Nibancho
130041,Akita Ken,Yokote Shi,Osawa
130064,Akita Ken,Yokote Shi,Akasaka
130075,Akita Ken,Yokote Shi,Shizukamachi
130101,Akita Ken,Yokote Shi,Hirakamachi Kamiyoshida
130105,Akita Ken,Yokote Shi,Hirakamachi Asamai
130205,Akita Ken,Yokote Shi,Omonogawamachi Imashuku
130415,Akita Ken,Yokote Shi,Taiyu Fujimakinishi
140016,Akita Ken,Daisen Shi,Wakatakecho
140045,Akita Ken,Daisen Shi,Omagari Wakabacho
140047,Akita Ken,Daisen Shi,Omagari Suwacho
140054,Akita Ken,Daisen Shi,Omagari Kanayacho
140061,Akita Ken,Daisen Shi,Omagari Sakaecho
140072,Akita Ken,Daisen Shi,Omagari Nishine
140073,Akita Ken,Daisen Shi,Uchiotomo
140113,Akita Ken,Daisen Shi,Horiminai
140207,Akita Ken,Daisen Shi,Nagano
140335,Akita Ken,Semboku Shi,Kakunodatemachi Hosogoemachi
140347,Akita Ken,Semboku Shi,Kakunodatemachi Ogata
140372,Akita Ken,Semboku Shi,Kakunodatemachi Kodate
140512,Akita Ken,Semboku Shi,Nishikicho Kamiarai
140602,Akita Ken,Semboku Shi,Nishikicho Hinokinai
140712,Akita Ken,Daisen Shi,Toyoka
141114,Akita Ken,Semboku Shi,Tazawako Jindai
141201,Akita Ken,Semboku Shi,Tazawako Obonai
141412,Akita Ken,Daisen Shi,Fujiki
150014,Akita Ken,Yurihonjo Shi,Ishiwaki 
150041,Akita Ken,Yurihonjo Shi,Yakushido
150075,Akita Ken,Yurihonjo Shi,Hanabatamachi
150211,Akita Ken,Yurihonjo Shi,Higashiyuri Oikata
150341,Akita Ken,Yurihonjo Shi,Maego
150404,Akita Ken,Yurihonjo Shi,Yashimamachi Nanokamachi
150504,Akita Ken,Yurihonjo Shi,Chokaimachi Kamikawauchi
150885,Akita Ken,Yurihonjo Shi,Mizubayashi
160005,Akita Ken,Noshiro Shi,Makabechi
160013,Akita Ken,Noshiro Shi,Mukainoshiro
160014,Akita Ken,Noshiro Shi,Ochiai
160122,Akita Ken,Noshiro Shi,Ogida
160171,Akita Ken,Noshiro Shi,Kawatogawa
160184,Akita Ken,Noshiro Shi,Takahana
160822,Akita Ken,Noshiro Shi,Higashimachi
160851,Akita Ken,Noshiro Shi,Midorimachi
160854,Akita Ken,Noshiro Shi,Hoshodai
160896,Akita Ken,Noshiro Shi,Hannyamachi
170012,Akita Ken,Odate Shi,Shakanai
170043,Akita Ken,Odate Shi,Ariura
170052,Akita Ken,Odate Shi,Matsuki
170201,Akita Ken,Kazuno Gun,Kosaka
170813,Akita Ken,Odate Shi,Kanezakaushiro
170866,Akita Ken,Odate Shi,Kitashimmeicho
170872,Akita Ken,Odate Shi,Katayamacho
170878,Akita Ken,Odate Shi,Kawaguchi
180148,Akita Ken,Nikaho Shi,Kisakatamachi Shimohamayama
180185,Akita Ken,Nikaho Shi,Kisakatamachi Yashikida
180311,Akita Ken,Nikaho Shi,Konora
180411,Akita Ken,Nikaho Shi,Innai
180602,Akita Ken,Yurihonjo Shi,Nishimemachi Deto
180604,Akita Ken,Yurihonjo Shi,Nishimemachi Numata
180722,Akita Ken,Yurihonjo Shi,Nakadate
181305,Akita Ken,Yurihonjo Shi,Iwaki Futago
181401,Akita Ken,Katagami Shi,Showa Okubo
181523,Akita Ken,Minamiakita Gun,Sakamoto
181606,Akita Ken,Minamiakita Gun,Yashafukuro
181711,Akita Ken,Minamiakita Gun,Takasaki
181732,Akita Ken,Minamiakita Gun,Okawanishino
182104,Akita Ken,Yamamoto Gun,Kado
182303,Akita Ken,Yamamoto Gun,Moritake
182401,Akita Ken,Yamamoto Gun,Ukawa
182507,Akita Ken,Yamamoto Gun,Minehama Tanaka
183141,Akita Ken,Noshiro Shi,Futatsuimachi Gosengari
183157,Akita Ken,Noshiro Shi,Futatsuimachi Shimono
183201,Akita Ken,Yamamoto Gun,Fujikoto
183314,Akita Ken,Kitaakita Shi,Isecho
183333,Akita Ken,Kitaakita Shi,Bozawa
183452,Akita Ken,Kitaakita Shi,Nanukaichi
183501,Akita Ken,Odate Shi,Iwase
184282,Akita Ken,Kitaakita Shi,Sumomodai
184421,Akita Ken,Kitaakita Gun,Kosawada
184516,Akita Ken,Kitaakita Shi,Katsurase
184611,Akita Ken,Kitaakita Shi,Ani Mizunashi
185141,Akita Ken,Kazuno Shi,Hachimantai
185201,Akita Ken,Kazuno Shi,Hanawa
185202,Akita Ken,Kazuno Shi,Osarizawa
185334,Akita Ken,Kazuno Shi,Towada Kemanai
185501,Aomori Ken,Towada Shi,Towadakohanyasumiya)
185501,Aomori Ken,Towada Shi,Okuse
185605,Akita Ken,Odate Shi,Saruma
185701,Akita Ken,Odate Shi,Hinaimachi Ogita
185741,Akita Ken,Odate Shi,Hinaimachi Takko
185751,Akita Ken,Odate Shi,Niida
190112,Akita Ken,Yuzawa Shi,Shimoinnai
190204,Akita Ken,Yuzawa Shi,Yokobori
190508,Akita Ken,Yokote Shi,Jumonjimachi Jugonoshinden
190701,Akita Ken,Yokote Shi,Masudamachi Masuda
190801,Akita Ken,Ogachi Gun,Tagonai
191404,Akita Ken,Semboku Gun,Rokugo
191601,Akita Ken,Daisen Shi,Otacho Yokosawa
191613,Akita Ken,Daisen Shi,Otacho Ota
191701,Akita Ken,Daisen Shi,Jinguji
191866,Akita Ken,Daisen Shi,Nangai Akahiradaino
192112,Akita Ken,Daisen Shi,Kariwano
192411,Akita Ken,Daisen Shi,Kyowa Sakai
192625,Akita Ken,Akita Shi,Kawabe Kitanodakoya
192742,Akita Ken,Akita Shi,Kawabe Sannai
200002,Iwate Ken,Morioka Shi,Sakuradai
200004,Iwate Ken,Morioka Shi,Yamagishi
200013,Iwate Ken,Morioka Shi,Atagocho
200015,Iwate Ken,Morioka Shi,Honchodori
200021,Iwate Ken,Morioka Shi,Chuodori
200024,Iwate Ken,Morioka Shi,Saien
200025,Iwate Ken,Morioka Shi,Osawakawara
200033,Iwate Ken,Morioka Shi,Moriokaekimae Kitadori
200034,Iwate Ken,Morioka Shi,Moriokaekimaedori
200044,Iwate Ken,Morioka Shi,Joseicho
200045,Iwate Ken,Morioka Shi,Moriokaekinishitori
200053,Iwate Ken,Morioka Shi,Kamiota
200061,Iwate Ken,Morioka Shi,Kitayama
200062,Iwate Ken,Morioka Shi,Nagatacho
200063,Iwate Ken,Morioka Shi,Zaimokucho
200066,Iwate Ken,Morioka Shi,Ueda
200102,Iwate Ken,Morioka Shi,Ueda
200105,Iwate Ken,Morioka Shi,Kitamatsuzono
200106,Iwate Ken,Morioka Shi,Higashimatsuzono
200111,Iwate Ken,Morioka Shi,Kuroishino
200114,Iwate Ken,Morioka Shi,Takamatsu
200122,Iwate Ken,Morioka Shi,Mitake
200124,Iwate Ken,Morioka Shi,Kuriyagawa
200127,Iwate Ken,Morioka Shi,Zenkunen
200133,Iwate Ken,Morioka Shi,Aoyama
200144,Iwate Ken,Morioka Shi,Tsuchibuchi
200201,Iwate Ken,Morioka Shi,Hinoto
200401,Iwate Ken,Morioka Shi,Teshiromori
200402,Iwate Ken,Morioka Shi,Kurokawa
200403,Iwate Ken,Morioka Shi,Otobe
200544,Iwate Ken,Iwate Gun,Kakiki
200605,Iwate Ken,Takizawa Shi,Sunakomi
200611,Iwate Ken,Takizawa Shi,Sugo
200612,Iwate Ken,Takizawa Shi,Yanagisawa
200632,Iwate Ken,Takizawa Shi,Makinobayashi
200633,Iwate Ken,Takizawa Shi,Anaguchi
200643,Iwate Ken,Takizawa Shi,Sotoyama
200675,Iwate Ken,Takizawa Shi,Ukai Takimukai
200685,Iwate Ken,Takizawa Shi,Ukai Adachi
200805,Iwate Ken,Morioka Shi,Higashishinjo
200807,Iwate Ken,Morioka Shi,Kagano
200822,Iwate Ken,Morioka Shi,Chabatake
200824,Iwate Ken,Morioka Shi,Higashianiwa
200833,Iwate Ken,Morioka Shi,Nishimirumae
200835,Iwate Ken,Morioka Shi,Tsushida
200841,Iwate Ken,Morioka Shi,Haba
200851,Iwate Ken,Morioka Shi,Mukainakano
200853,Iwate Ken,Morioka Shi,Shimoiioka
200861,Iwate Ken,Morioka Shi,Semboku
200866,Iwate Ken,Morioka Shi,Motomiya
200876,Iwate Ken,Morioka Shi,Babacho
200881,Iwate Ken,Morioka Shi,Tenjincho
200887,Iwate Ken,Morioka Shi,Kaminohashicho
210041,Iwate Ken,Ichinoseki Shi,Akogi
210061,Iwate Ken,Ichinoseki Shi,Yamanome
210101,Iwate Ken,Ichinoseki Shi,Gembicho
210221,Iwate Ken,Ichinoseki Shi,Maikawa
210807,Iwate Ken,Ichinoseki Shi,Higashikaocho
210821,Iwate Ken,Ichinoseki Shi,Sannoseki
210852,Iwate Ken,Ichinoseki Shi,Sawa
210864,Iwate Ken,Ichinoseki Shi,Asahicho
210871,Iwate Ken,Ichinoseki Shi,Hachimancho
210884,Iwate Ken,Ichinoseki Shi,Otemachi
210894,Iwate Ken,Ichinoseki Shi,Iwaicho
210901,Iwate Ken,Ichinoseki Shi,Mashiba
210902,Iwate Ken,Ichinoseki Shi,Hagisho
220001,Iwate Ken,Ofunato Shi,Massakicho
220002,Iwate Ken,Ofunato Shi,Ofunatocho
220004,Iwate Ken,Ofunato Shi,Ikawacho
220006,Iwate Ken,Ofunato Shi,Takkoncho
220007,Iwate Ken,Ofunato Shi,Akasakicho
220211,Iwate Ken,Ofunato Shi,Sanrikucho Ryori
230003,Iwate Ken,Oshu Shi,Mizusawaku Sakurakawa
230032,Iwate Ken,Oshu Shi,Mizusawaku Taga
230037,Iwate Ken,Oshu Shi,Mizusawaku Minamiushizawa
230064,Iwate Ken,Oshu Shi,Mizusawaku Dokita
230401,Iwate Ken,Oshu Shi,Isawaku Natsuta
230402,Iwate Ken,Oshu Shi,Isawaku Oyama
230816,Iwate Ken,Oshu Shi,Mizusawaku Nishimachi
230841,Iwate Ken,Oshu Shi,Mizusawaku Shinjo
230864,Iwate Ken,Oshu Shi,Mizusawaku Ryugababa
230875,Iwate Ken,Oshu Shi,Mizusawaku Morishita
231101,Iwate Ken,Oshu Shi,Esashiku Iwayado
231134,Iwate Ken,Oshu Shi,Esashiku Tamasato
231762,Iwate Ken,Oshu Shi,Esashiku Fujisato
240004,Iwate Ken,Kitakami Shi,Murasakino
240012,Iwate Ken,Kitakami Shi,Tokiwadai
240021,Iwate Ken,Kitakami Shi,Uenocho
240022,Iwate Ken,Kitakami Shi,Kurosawajiri
240043,Iwate Ken,Kitakami Shi,Tachibana
240051,Iwate Ken,Kitakami Shi,Aisaricho
240071,Iwate Ken,Kitakami Shi,Kamiezuriko
240104,Iwate Ken,Kitakami Shi,Futagocho
240331,Iwate Ken,Kitakami Shi,Wagacho Yokokawame
240333,Iwate Ken,Kitakami Shi,Wagacho Naganuma
250001,Iwate Ken,Hanamaki Shi,Tenkada
250002,Iwate Ken,Hanamaki Shi,Nishimiyanome
250004,Iwate Ken,Hanamaki Shi,Kuzu
250014,Iwate Ken,Hanamaki Shi,Takamatsu
250021,Iwate Ken,Hanamaki Shi,Nanjo
250037,Iwate Ken,Hanamaki Shi,Ota
250042,Iwate Ken,Hanamaki Shi,Emmanji
250053,Iwate Ken,Hanamaki Shi,Nakakitamanchome
250061,Iwate Ken,Hanamaki Shi,Motodate
250066,Iwate Ken,Hanamaki Shi,Matsuzonocho
250071,Iwate Ken,Hanamaki Shi,Atagocho
250082,Iwate Ken,Hanamaki Shi,Otayacho
250097,Iwate Ken,Hanamaki Shi,Wakabacho
250131,Iwate Ken,Hanamaki Shi,Todoroki
250304,Iwate Ken,Hanamaki Shi,Yumoto
260002,Iwate Ken,Kamaishi Shi,Odairacho
260034,Iwate Ken,Kamaishi Shi,Nakazumacho
260053,Iwate Ken,Kamaishi Shi,Sadanaicho
260055,Iwate Ken,Kamaishi Shi,Kasshicho
260121,Iwate Ken,Kamaishi Shi,Tonicho 
260301,Iwate Ken,Kamaishi Shi,Unosumaicho
270024,Iwate Ken,Miyako Shi,Sokei
270035,Iwate Ken,Miyako Shi,Hanawa
270039,Iwate Ken,Miyako Shi,Kanan
270041,Iwate Ken,Miyako Shi,Nishigaoka
270052,Iwate Ken,Miyako Shi,Miyamachi
270094,Iwate Ken,Miyako Shi,Hinodecho
270096,Iwate Ken,Miyako Shi,Sakikuwagasaki
270097,Iwate Ken,Miyako Shi,Sakiyama
270111,Iwate Ken,Miyako Shi,Omoe
270203,Iwate Ken,Miyako Shi,Tsugaruishi
270301,Iwate Ken,Miyako Shi,Taro Tategamori
270352,Iwate Ken,Miyako Shi,Taro Yahatasuijin
270421,Iwate Ken,Shimohei Gun,Omoto
270501,Iwate Ken,Shimohei Gun,Iwaizumi
280001,Iwate Ken,Kuji Shi,Natsuicho
280021,Iwate Ken,Kuji Shi,Monzen
280024,Iwate Ken,Kuji Shi,Sakaecho
280033,Iwate Ken,Kuji Shi,Hatakeda
280051,Iwate Ken,Kuji Shi,Kawasakicho
280071,Iwate Ken,Kuji Shi,Kokujicho
280091,Iwate Ken,Kuji Shi,Okawamecho
280114,Iwate Ken,Hanamaki Shi,Towacho Tsuchizawa
280304,Iwate Ken,Tono Shi,Miyamoricho Shimomiyamori
280503,Iwate Ken,Tono Shi,Aozasacho Aozasa
280525,Iwate Ken,Tono Shi,Muikamachi
280541,Iwate Ken,Tono Shi,Matsuzakicho Shiraiwa
281101,Iwate Ken,Kamihei Gun,Kirikiri
281131,Iwate Ken,Kamihei Gun,Otsuchi
281361,Iwate Ken,Shimohei Gun,Orikasa
282104,Iwate Ken,Miyako Shi,Kariya
282233,Iwate Ken,Shimohei Gun,Kamatsuta
282304,Iwate Ken,Miyako Shi,Hakoishi
283163,Iwate Ken,Hanamaki Shi,Ishidoriyacho Hachiman
283172,Iwate Ken,Hanamaki Shi,Ishidoriyacho Kitaterabayashi
283202,Iwate Ken,Hanamaki Shi,Ohasamamachi Sotokawame
283203,Iwate Ken,Hanamaki Shi,Ohasamamachi Ohasama
283305,Iwate Ken,Shiwa Gun,Hizume
283308,Iwate Ken,Shiwa Gun,Hirasawa
283312,Iwate Ken,Shiwa Gun,Inuhoemori
283451,Iwate Ken,Shiwa Gun,Inafuji
283613,Iwate Ken,Shiwa Gun,Kitayahaba
283615,Iwate Ken,Shiwa Gun,Minamiyahaba
283616,Iwate Ken,Shiwa Gun,Shirasawa
283622,Iwate Ken,Shiwa Gun,Kamiyatsugi
284125,Iwate Ken,Morioka Shi,Koma
284134,Iwate Ken,Morioka Shi,Shimoda
284211,Iwate Ken,Iwate Gun,Kawaguchi
284307,Iwate Ken,Iwate Gun,Itsukaichi
284421,Iwate Ken,Iwate Gun,Ikkatai
285133,Iwate Ken,Ninohe Gun,Nakayama
285134,Iwate Ken,Ninohe Gun,Okunakayama
285312,Iwate Ken,Ninohe Gun,Ichinohe
285402,Iwate Ken,Iwate Gun,Kuzumaki
285403,Iwate Ken,Iwate Gun,Ekari
285641,Iwate Ken,Shimohei Gun,Kado
285711,Iwate Ken,Ninohe Shi,Kintaichi
286101,Iwate Ken,Ninohe Shi,Fukuoka
286103,Iwate Ken,Ninohe Shi,Ishikiridokoro
286105,Iwate Ken,Ninohe Shi,Horino
286302,Iwate Ken,Kunohe Gun,Karumai
286502,Iwate Ken,Kunohe Gun,Ibonai
286611,Iwate Ken,Kunohe Gun,Sanne
286851,Iwate Ken,Ninohe Shi,Jobojimachi Koike
287111,Iwate Ken,Hachimantai Shi,Obuke
287301,Iwate Ken,Hachimantai Shi,Noda
287404,Iwate Ken,Hachimantai Shi,Horikiri
287405,Iwate Ken,Hachimantai Shi,Tairadate
287535,Iwate Ken,Hachimantai Shi,Shimizu
287801,Iwate Ken,Kuji Shi,Samuraihamacho
287906,Iwate Ken,Kunohe Gun,Nakano
287912,Iwate Ken,Kunohe Gun,Taneichi Dai26-Chiwari-Dai38-Chiwar
287913,Iwate Ken,Kunohe Gun,Taneichi Dai24-Chiwari-Dai25-Chiwar
288111,Iwate Ken,Kuji Shi,Ubecho
288201,Iwate Ken,Kunohe Gun,Noda
288331,Iwate Ken,Shimohei Gun,Urube
288404,Iwate Ken,Shimohei Gun,Matsumaesawa
288404,Iwate Ken,Shimohei Gun,Shimanokoshi
288602,Iwate Ken,Kuji Shi,Yamagatacho Kawai
288802,Iwate Ken,Kunohe Gun,Ono
290132,Iwate Ken,Ichinoseki Shi,Takizawa
290202,Iwate Ken,Ichinoseki Shi,Kawasakicho Usuginu
290302,Iwate Ken,Ichinoseki Shi,Higashiyamacho Nagasaka
290523,Iwate Ken,Ichinoseki Shi,Daitocho Surisawa
290602,Iwate Ken,Ichinoseki Shi,Daitocho Toriumi
290711,Iwate Ken,Ichinoseki Shi,Daitocho Ohara
290803,Iwate Ken,Ichinoseki Shi,Semmayacho Semmaya
291202,Iwate Ken,Ichinoseki Shi,Muronecho Yagoshi
292205,Iwate Ken,Rikuzentakata Shi,Takatacho
292206,Iwate Ken,Rikuzentakata Shi,Yonesakicho
292311,Iwate Ken,Kesen Gun,Setamai
292501,Iwate Ken,Kesen Gun,Kamiarisu
293101,Iwate Ken,Ichinoseki Shi,Hanaizumicho Hanaizumi
293105,Iwate Ken,Ichinoseki Shi,Hanaizumicho Wakutsu
293405,Iwate Ken,Ichinoseki Shi,Fujisawacho Fujisawa
294102,Iwate Ken,Nishiiwai Gun,Hiraizumi
294201,Iwate Ken,Oshu Shi,Maesawaku Kojo
294201,Iwate Ken,Oshu Shi,Maesawaku Kyuden
294201,Iwate Ken,Oshu Shi,Maesawaku Genjigasaki
294201,Iwate Ken,Oshu Shi,Maesawaku Abetate
294206,Iwate Ken,Oshu Shi,Maesawaku Hiyokematsu
294206,Iwate Ken,Oshu Shi,Maesawaku Misumori
294206,Iwate Ken,Oshu Shi,Maesawaku Urashinden
294206,Iwate Ken,Oshu Shi,Maesawaku Yogamori
294206,Iwate Ken,Oshu Shi,Maesawaku Akasaka
294206,Iwate Ken,Oshu Shi,Maesawaku Tarogasawa
294206,Iwate Ken,Oshu Shi,Maesawaku Komasui
294206,Iwate Ken,Oshu Shi,Maesawaku Kitsuneishi
294206,Iwate Ken,Oshu Shi,Maesawaku Jimba
294208,Iwate Ken,Oshu Shi,Maesawaku Shimmachi
294208,Iwate Ken,Oshu Shi,Maesawaku Tabata
294208,Iwate Ken,Oshu Shi,Maesawaku Shimmachiura
294208,Iwate Ken,Oshu Shi,Maesawaku Nijunimmachi
294208,Iwate Ken,Oshu Shi,Maesawaku Kabuki
294208,Iwate Ken,Oshu Shi,Maesawaku Nakada
294208,Iwate Ken,Oshu Shi,Maesawaku Nanokamachiura
294208,Iwate Ken,Oshu Shi,Maesawaku Kanohata
294208,Iwate Ken,Oshu Shi,Maesawaku Takezawa
